task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,logistic_regression,0.1,13,1400,female,female,914
gender,logistic_regression,0.1,13,1400,female,male,823
gender,logistic_regression,0.1,13,1400,male,female,873
gender,logistic_regression,0.1,13,1400,male,male,889
gender,random_forest,0.1,13,1400,female,female,822
gender,random_forest,0.1,13,1400,female,male,915
gender,random_forest,0.1,13,1400,male,female,805
gender,random_forest,0.1,13,1400,male,male,957
gender,hist_gradient_boosting,0.1,13,1400,female,female,817
gender,hist_gradient_boosting,0.1,13,1400,female,male,920
gender,hist_gradient_boosting,0.1,13,1400,male,female,859
gender,hist_gradient_boosting,0.1,13,1400,male,male,903
gender,xgboost,0.1,13,1400,female,female,870
gender,xgboost,0.1,13,1400,female,male,867
gender,xgboost,0.1,13,1400,male,female,837
gender,xgboost,0.1,13,1400,male,male,925
gender,mlp,0.1,13,1400,female,female,942
gender,mlp,0.1,13,1400,female,male,795
gender,mlp,0.1,13,1400,male,female,1019
gender,mlp,0.1,13,1400,male,male,743
gender,logistic_regression,0.1,21,1400,female,female,863
gender,logistic_regression,0.1,21,1400,female,male,874
gender,logistic_regression,0.1,21,1400,male,female,850
gender,logistic_regression,0.1,21,1400,male,male,912
gender,random_forest,0.1,21,1400,female,female,852
gender,random_forest,0.1,21,1400,female,male,885
gender,random_forest,0.1,21,1400,male,female,834
gender,random_forest,0.1,21,1400,male,male,928
gender,hist_gradient_boosting,0.1,21,1400,female,female,843
gender,hist_gradient_boosting,0.1,21,1400,female,male,894
gender,hist_gradient_boosting,0.1,21,1400,male,female,825
gender,hist_gradient_boosting,0.1,21,1400,male,male,937
gender,xgboost,0.1,21,1400,female,female,877
gender,xgboost,0.1,21,1400,female,male,860
gender,xgboost,0.1,21,1400,male,female,870
gender,xgboost,0.1,21,1400,male,male,892
gender,mlp,0.1,21,1400,female,female,926
gender,mlp,0.1,21,1400,female,male,811
gender,mlp,0.1,21,1400,male,female,928
gender,mlp,0.1,21,1400,male,male,834
gender,logistic_regression,0.1,34,1400,female,female,944
gender,logistic_regression,0.1,34,1400,female,male,793
gender,logistic_regression,0.1,34,1400,male,female,860
gender,logistic_regression,0.1,34,1400,male,male,902
gender,random_forest,0.1,34,1400,female,female,833
gender,random_forest,0.1,34,1400,female,male,904
gender,random_forest,0.1,34,1400,male,female,818
gender,random_forest,0.1,34,1400,male,male,944
gender,hist_gradient_boosting,0.1,34,1400,female,female,839
gender,hist_gradient_boosting,0.1,34,1400,female,male,898
gender,hist_gradient_boosting,0.1,34,1400,male,female,881
gender,hist_gradient_boosting,0.1,34,1400,male,male,881
gender,xgboost,0.1,34,1400,female,female,868
gender,xgboost,0.1,34,1400,female,male,869
gender,xgboost,0.1,34,1400,male,female,853
gender,xgboost,0.1,34,1400,male,male,909
gender,mlp,0.1,34,1400,female,female,609
gender,mlp,0.1,34,1400,female,male,1128
gender,mlp,0.1,34,1400,male,female,619
gender,mlp,0.1,34,1400,male,male,1143
gender,logistic_regression,0.1,55,1400,female,female,833
gender,logistic_regression,0.1,55,1400,female,male,904
gender,logistic_regression,0.1,55,1400,male,female,840
gender,logistic_regression,0.1,55,1400,male,male,922
gender,random_forest,0.1,55,1400,female,female,782
gender,random_forest,0.1,55,1400,female,male,955
gender,random_forest,0.1,55,1400,male,female,771
gender,random_forest,0.1,55,1400,male,male,991
gender,hist_gradient_boosting,0.1,55,1400,female,female,866
gender,hist_gradient_boosting,0.1,55,1400,female,male,871
gender,hist_gradient_boosting,0.1,55,1400,male,female,833
gender,hist_gradient_boosting,0.1,55,1400,male,male,929
gender,xgboost,0.1,55,1400,female,female,815
gender,xgboost,0.1,55,1400,female,male,922
gender,xgboost,0.1,55,1400,male,female,827
gender,xgboost,0.1,55,1400,male,male,935
gender,mlp,0.1,55,1400,female,female,1459
gender,mlp,0.1,55,1400,female,male,278
gender,mlp,0.1,55,1400,male,female,1475
gender,mlp,0.1,55,1400,male,male,287
gender,logistic_regression,0.1,89,1400,female,female,811
gender,logistic_regression,0.1,89,1400,female,male,926
gender,logistic_regression,0.1,89,1400,male,female,813
gender,logistic_regression,0.1,89,1400,male,male,949
gender,random_forest,0.1,89,1400,female,female,815
gender,random_forest,0.1,89,1400,female,male,922
gender,random_forest,0.1,89,1400,male,female,788
gender,random_forest,0.1,89,1400,male,male,974
gender,hist_gradient_boosting,0.1,89,1400,female,female,863
gender,hist_gradient_boosting,0.1,89,1400,female,male,874
gender,hist_gradient_boosting,0.1,89,1400,male,female,881
gender,hist_gradient_boosting,0.1,89,1400,male,male,881
gender,xgboost,0.1,89,1400,female,female,874
gender,xgboost,0.1,89,1400,female,male,863
gender,xgboost,0.1,89,1400,male,female,855
gender,xgboost,0.1,89,1400,male,male,907
gender,mlp,0.1,89,1400,female,female,781
gender,mlp,0.1,89,1400,female,male,956
gender,mlp,0.1,89,1400,male,female,832
gender,mlp,0.1,89,1400,male,male,930
gender,logistic_regression,0.25,13,3499,female,female,893
gender,logistic_regression,0.25,13,3499,female,male,844
gender,logistic_regression,0.25,13,3499,male,female,891
gender,logistic_regression,0.25,13,3499,male,male,871
gender,random_forest,0.25,13,3499,female,female,830
gender,random_forest,0.25,13,3499,female,male,907
gender,random_forest,0.25,13,3499,male,female,856
gender,random_forest,0.25,13,3499,male,male,906
gender,hist_gradient_boosting,0.25,13,3499,female,female,788
gender,hist_gradient_boosting,0.25,13,3499,female,male,949
gender,hist_gradient_boosting,0.25,13,3499,male,female,791
gender,hist_gradient_boosting,0.25,13,3499,male,male,971
gender,xgboost,0.25,13,3499,female,female,861
gender,xgboost,0.25,13,3499,female,male,876
gender,xgboost,0.25,13,3499,male,female,859
gender,xgboost,0.25,13,3499,male,male,903
gender,mlp,0.25,13,3499,female,female,922
gender,mlp,0.25,13,3499,female,male,815
gender,mlp,0.25,13,3499,male,female,971
gender,mlp,0.25,13,3499,male,male,791
gender,logistic_regression,0.25,21,3499,female,female,847
gender,logistic_regression,0.25,21,3499,female,male,890
gender,logistic_regression,0.25,21,3499,male,female,866
gender,logistic_regression,0.25,21,3499,male,male,896
gender,random_forest,0.25,21,3499,female,female,788
gender,random_forest,0.25,21,3499,female,male,949
gender,random_forest,0.25,21,3499,male,female,816
