task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,logistic_regression,0.1,13,1400,female,female,933
gender,logistic_regression,0.1,13,1400,female,male,804
gender,logistic_regression,0.1,13,1400,male,female,840
gender,logistic_regression,0.1,13,1400,male,male,922
gender,random_forest,0.1,13,1400,female,female,841
gender,random_forest,0.1,13,1400,female,male,896
gender,random_forest,0.1,13,1400,male,female,775
gender,random_forest,0.1,13,1400,male,male,987
gender,hist_gradient_boosting,0.1,13,1400,female,female,848
gender,hist_gradient_boosting,0.1,13,1400,female,male,889
gender,hist_gradient_boosting,0.1,13,1400,male,female,850
gender,hist_gradient_boosting,0.1,13,1400,male,male,912
gender,xgboost,0.1,13,1400,female,female,877
gender,xgboost,0.1,13,1400,female,male,860
gender,xgboost,0.1,13,1400,male,female,810
gender,xgboost,0.1,13,1400,male,male,952
gender,mlp,0.1,13,1400,female,female,945
gender,mlp,0.1,13,1400,female,male,792
gender,mlp,0.1,13,1400,male,female,1002
gender,mlp,0.1,13,1400,male,male,760
gender,logistic_regression,0.1,21,1400,female,female,892
gender,logistic_regression,0.1,21,1400,female,male,845
gender,logistic_regression,0.1,21,1400,male,female,819
gender,logistic_regression,0.1,21,1400,male,male,943
gender,random_forest,0.1,21,1400,female,female,825
gender,random_forest,0.1,21,1400,female,male,912
gender,random_forest,0.1,21,1400,male,female,779
gender,random_forest,0.1,21,1400,male,male,983
gender,hist_gradient_boosting,0.1,21,1400,female,female,872
gender,hist_gradient_boosting,0.1,21,1400,female,male,865
gender,hist_gradient_boosting,0.1,21,1400,male,female,860
gender,hist_gradient_boosting,0.1,21,1400,male,male,902
gender,xgboost,0.1,21,1400,female,female,899
gender,xgboost,0.1,21,1400,female,male,838
gender,xgboost,0.1,21,1400,male,female,882
gender,xgboost,0.1,21,1400,male,male,880
gender,mlp,0.1,21,1400,female,female,1000
gender,mlp,0.1,21,1400,female,male,737
gender,mlp,0.1,21,1400,male,female,931
gender,mlp,0.1,21,1400,male,male,831
gender,logistic_regression,0.1,34,1400,female,female,944
gender,logistic_regression,0.1,34,1400,female,male,793
gender,logistic_regression,0.1,34,1400,male,female,819
gender,logistic_regression,0.1,34,1400,male,male,943
gender,random_forest,0.1,34,1400,female,female,858
gender,random_forest,0.1,34,1400,female,male,879
gender,random_forest,0.1,34,1400,male,female,789
gender,random_forest,0.1,34,1400,male,male,973
gender,hist_gradient_boosting,0.1,34,1400,female,female,831
gender,hist_gradient_boosting,0.1,34,1400,female,male,906
gender,hist_gradient_boosting,0.1,34,1400,male,female,846
gender,hist_gradient_boosting,0.1,34,1400,male,male,916
gender,xgboost,0.1,34,1400,female,female,873
gender,xgboost,0.1,34,1400,female,male,864
gender,xgboost,0.1,34,1400,male,female,838
gender,xgboost,0.1,34,1400,male,male,924
gender,mlp,0.1,34,1400,female,female,754
gender,mlp,0.1,34,1400,female,male,983
gender,mlp,0.1,34,1400,male,female,733
gender,mlp,0.1,34,1400,male,male,1029
gender,logistic_regression,0.1,55,1400,female,female,858
gender,logistic_regression,0.1,55,1400,female,male,879
gender,logistic_regression,0.1,55,1400,male,female,811
gender,logistic_regression,0.1,55,1400,male,male,951
gender,random_forest,0.1,55,1400,female,female,824
gender,random_forest,0.1,55,1400,female,male,913
gender,random_forest,0.1,55,1400,male,female,769
gender,random_forest,0.1,55,1400,male,male,993
gender,hist_gradient_boosting,0.1,55,1400,female,female,842
gender,hist_gradient_boosting,0.1,55,1400,female,male,895
gender,hist_gradient_boosting,0.1,55,1400,male,female,832
gender,hist_gradient_boosting,0.1,55,1400,male,male,930
gender,xgboost,0.1,55,1400,female,female,858
gender,xgboost,0.1,55,1400,female,male,879
gender,xgboost,0.1,55,1400,male,female,833
gender,xgboost,0.1,55,1400,male,male,929
gender,mlp,0.1,55,1400,female,female,1021
gender,mlp,0.1,55,1400,female,male,716
gender,mlp,0.1,55,1400,male,female,1000
gender,mlp,0.1,55,1400,male,male,762
gender,logistic_regression,0.1,89,1400,female,female,839
gender,logistic_regression,0.1,89,1400,female,male,898
gender,logistic_regression,0.1,89,1400,male,female,758
gender,logistic_regression,0.1,89,1400,male,male,1004
gender,random_forest,0.1,89,1400,female,female,825
gender,random_forest,0.1,89,1400,female,male,912
gender,random_forest,0.1,89,1400,male,female,803
gender,random_forest,0.1,89,1400,male,male,959
gender,hist_gradient_boosting,0.1,89,1400,female,female,845
gender,hist_gradient_boosting,0.1,89,1400,female,male,892
gender,hist_gradient_boosting,0.1,89,1400,male,female,791
gender,hist_gradient_boosting,0.1,89,1400,male,male,971
gender,xgboost,0.1,89,1400,female,female,827
gender,xgboost,0.1,89,1400,female,male,910
gender,xgboost,0.1,89,1400,male,female,822
gender,xgboost,0.1,89,1400,male,male,940
gender,mlp,0.1,89,1400,female,female,827
gender,mlp,0.1,89,1400,female,male,910
gender,mlp,0.1,89,1400,male,female,778
gender,mlp,0.1,89,1400,male,male,984
gender,logistic_regression,0.25,13,3499,female,female,943
gender,logistic_regression,0.25,13,3499,female,male,794
gender,logistic_regression,0.25,13,3499,male,female,879
gender,logistic_regression,0.25,13,3499,male,male,883
gender,random_forest,0.25,13,3499,female,female,846
gender,random_forest,0.25,13,3499,female,male,891
gender,random_forest,0.25,13,3499,male,female,800
gender,random_forest,0.25,13,3499,male,male,962
gender,hist_gradient_boosting,0.25,13,3499,female,female,842
gender,hist_gradient_boosting,0.25,13,3499,female,male,895
gender,hist_gradient_boosting,0.25,13,3499,male,female,786
gender,hist_gradient_boosting,0.25,13,3499,male,male,976
gender,xgboost,0.25,13,3499,female,female,887
gender,xgboost,0.25,13,3499,female,male,850
gender,xgboost,0.25,13,3499,male,female,837
gender,xgboost,0.25,13,3499,male,male,925
gender,mlp,0.25,13,3499,female,female,925
gender,mlp,0.25,13,3499,female,male,812
gender,mlp,0.25,13,3499,male,female,971
gender,mlp,0.25,13,3499,male,male,791
gender,logistic_regression,0.25,21,3499,female,female,876
gender,logistic_regression,0.25,21,3499,female,male,861
gender,logistic_regression,0.25,21,3499,male,female,835
gender,logistic_regression,0.25,21,3499,male,male,927
gender,random_forest,0.25,21,3499,female,female,825
gender,random_forest,0.25,21,3499,female,male,912
gender,random_forest,0.25,21,3499,male,female,775
gender,random_forest,0.25,21,3499,male,male,987
gender,hist_gradient_boosting,0.25,21,3499,female,female,846
gender,hist_gradient_boosting,0.25,21,3499,female,male,891
gender,hist_gradient_boosting,0.25,21,3499,male,female,824
gender,hist_gradient_boosting,0.25,21,3499,male,male,938
gender,xgboost,0.25,21,3499,female,female,865
gender,xgboost,0.25,21,3499,female,male,872
gender,xgboost,0.25,21,3499,male,female,833
